ID_Categoria,Nombre,Descripción,
2,Computadora,Toda clase de computadoras,
2,Impresora,"Tipos de impresoras: tinta, láser o 3D",
2,Dron,"Drones programables, modular, etc",
2,Smartphone,Smartphones y Tablets,
2,Smartwatch,Relojes inteligentes,
2,Smartpen ,Lápices inteligentes,
2,Pantalla o monitor,Pantallas o monitores para computadoras,
2,Mesa táctil  ,Pantalla táctil de grandes dimensiones,
2,Teclado ,Teclado para cualquier tipo de computadora,
2,Mouse ,Mouse para cualquier tipo de computadora,
2,Telefono ,Teléfonos alámbricos o inalámbricos de oficina,
2,Cámara ,"Cámara profesional, webcam o cualquier otra",
1,Sillón ,Sillón para sala o recepción,
1,Escritorio ,Escritorio de trabajo para oficina,
1,Archivero ,Todo tipo de archiveros,
1,Estante ,Todo tipo de estantes,
1,Pizarrón ,Todo tipo de pizarrones,
1,Librero ,Librero de cualquier tamaño y material,
1,Mesa,Cualquier tipo de mesa para comedor o cafetería,
1,Silla,Cualquier tipo de silla,
1,Banco ,Cualquier tipo de banco,
2,Unidad Almacenamiento ,"Unidades tipo SSD, HDD, Micro SD, USB, etc",
3,Seguidor de ojos ,Dispositivo desarrollado para seguir los ojos,
2,Audifonos ,Cualquier tipo de audífonos,
1,Anaquel ,Cualquier tipo de anaquel,
3,Kit diagnostico,Kit de diagnóstico para equipos de eletrónica,
2,Fotocopiadora,Impresora para copiar e imprimir,
2,Proyector ,Proyector de cualquier tipo,
2,Pantalla multitouch ,Pantalla touch para conectar a una computadora,
